"date","title","time","class"
"06 Januari 2019","Berita Populer Sepekan: Lion Air Cabut Layanan Bagasi Gratis hingga Harga Pertamax Cs Turun","07:57 WIB","Negative"
"07 Januari 2019","Penghargaan Bisnis Berkelanjutan Libatkan 60 Perusahaan","23:33 WIB","Positive"
"07 Januari 2019","Pemerintah Buka Keran Impor Jagung 30.000 Ton","21:17 WIB","Negative"
"07 Januari 2019","Data Terintegrasi, Arus Devisa Hasil Ekspor Bisa Dipantau secara Real Time","18:55 WIB","Positive"
"07 Januari 2019","Bank Mandiri Gencarkan Bisnis di Segmen Menengah","18:30 WIB","Positive"
"07 Januari 2019","Tak Bawa Pulang Devisa Hasil Ekspor, Sanksi Menanti Pengusaha","18:12 WIB","Positive"
"07 Januari 2019","Targetkan Ekspor 2019 Lebih Tinggi, Ini Strategi Kemendag","15:35 WIB","Positive"
"07 Januari 2019","Menguat ke Rp 14.090 Per Dollar AS, BI Nilai Rupiah Masih Undervalued","15:21 WIB","Positive"
"07 Januari 2019","Faktor Eksternal Jadi Penyebab Garangnya Rupiah Hari Ini","14:48 WIB","Positive"
"07 Januari 2019","Kemendag Perkirakan Ekspor Nonmigas 2018 Hanya Tumbuh 7,5 Persen","14:45 WIB","Negative"
"07 Januari 2019","IHSG Disebut Sudah Jenuh Beli","14:20 WIB","Negative"
"07 Januari 2019","Rupiah Menguat ke Rp 14.024, Chatib Basri Ingatkan Pemerintah Tak Terlena","13:02 WIB","Positive"
"07 Januari 2019","4 Tren Ini Akan Ubah Lanskap Pemasaran di 2019","12:53 WIB","Neutral"
"07 Januari 2019","Ekonomi China Memburuk, Lapangan Kerja Tergerus","12:11 WIB","Negative"
"07 Januari 2019","Awali Pekan, Rupiah Menguat ke Rp 14.090 Per Dollar AS","10:16 WIB","Positive"
"07 Januari 2019","Trump: Melambatnya Ekonomi China Bisa Jadi Insentif untuk Membuat Kesepakatan","07:39 WIB","Neutral"
"07 Januari 2019","Punya Bisnis Rumahan? Ini 6 Cara untuk Mengembangkannya","05:43 WIB","Neutral"
"07 Januari 2019","Diprediksi Kembali Menguat Pekan Ini, Rupiah Bisa ke Level 14.100?","05:07 WIB","Positive"
"08 Januari 2019","Manfaatkan B20, Pemerintah Hemat Rp 28,4 Triliun","19:31 WIB","Positive"
"08 Januari 2019","Jelang IPO, Saham Perusahaan Pengolahan Daging Sapi KIBIF Oversubscribed","19:20 WIB","Positive"
"08 Januari 2019","Ekspansi Bisnis, Pelita Samudera Shipping Tambah 2 Kapal Baru","17:20 WIB","Positive"
"08 Januari 2019","Realisasi Investasi Energi Baru Terbarukan Meleset dari Target","16:08 WIB","Negative"
"08 Januari 2019","Ekonom Prediksi Pertumbuhan Ekonomi China di Bawah 6 Persen","16:02 WIB","Negative"
"08 Januari 2019","CITA: Kontribusi UKM Terhadap Total Pajak Sebesar Rp 6  Triliun","15:29 WIB","Positive"
"08 Januari 2019","Ekonom: Rupiah Berpotensi Menguat ke Level Rp 13.800 Per Dollar AS","12:47 WIB","Positive"
"08 Januari 2019","Proyek Kereta Semicepat Jakarta-Surabaya, Pemerintah Tawar Maksimal Rp 60 Triliun","10:37 WIB","Positive"
"08 Januari 2019","Gara-gara Brexit, Rp 14.000 Triliun Lebih Aset Perbankan Tinggalkan Inggris","09:01 WIB","Negative"
"08 Januari 2019","Bank Mandiri Akan Terbitkan Surat Utang Rp 40 Triliun","07:41 WIB","Positive"
"08 Januari 2019","Cadangan Devisa Desember 2018 Meningkat Jadi 120,7 Miliar Dolar AS","06:07 WIB","Positive"
"08 Januari 2019","Penguatan Rupiah Diprediksi hingga Akhir Januari","05:44 WIB","Positive"
"09 Januari 2019","Untuk Grasberg, Inalum Kucurkan Investasi hingga 1,4 Miliar Dollar AS","22:26 WIB","Positive"
"09 Januari 2019","Izin Ekspor Freeport Habis Pertengahan Februari 2019","21:02 WIB","Neutral"
"09 Januari 2019","Tak Ada Eksplorasi Besar-besaran, Investasi Minerba Diprediksi Stagnan","16:21 WIB","Negative"
"09 Januari 2019","Apindo: Pelambatan Ekonomi China Bisa Ancam Ekspor Indonesia","15:58 WIB","Negative"
"09 Januari 2019","Indonesia Jadi Pengimpor Gula Terbesar Dunia, Ini Kata Pemerintah","15:08 WIB","Negative"
"09 Januari 2019","Lebihi Target, PNBP Sektor Minerba 2018 Tembus Rp 50 Triliun","14:41 WIB","Positive"
"09 Januari 2019","Ekonomi China Melambat, Bagaimana Dampaknya ke Indonesia?","13:10 WIB","Negative"
"09 Januari 2019","2030, Indonesia Diprediksi Jadi Negara Ekonomi Terbesar Keempat di Dunia","12:45 WIB","Positive"
"09 Januari 2019","Harga Jual Emas Antam Turun Rp 3.000","12:22 WIB","Positive"
"09 Januari 2019","Bank Dunia: Dampak Ekonomi Brexit Tak Hanya Pukul Inggris dan Uni Eropa","10:30 WIB","Negative"
"09 Januari 2019","Bank Dunia: Laju Pertumbuhan Ekonomi Global 2019 Melemah","10:15 WIB","Negative"
"09 Januari 2019","Sepanjang 2018, Tunaiku Salurkan Kredit Lebih dari Rp 1 Triliun","10:00 WIB","Positive"
"09 Januari 2019","Resep Antigagal bagi Pebisnis Pemula dalam Mengembangkan Usaha","08:59 WIB","Neutral"
"09 Januari 2019","Pemerintah Siapkan Rp 6 Triliun untuk Sambungan Listrik Gratis","07:47 WIB","Positive"
"09 Januari 2019","Satgas Waspada Investasi Imbau Kasus Fintech Ilegal Jadi Pelajaran","05:46 WIB","Negative"
"10 Januari 2019","Naik 4 Kali Lipat, Misi Dagang Kemendag  2018 Tembus Rp 209 Triliun","20:11 WIB","Positive"
"10 Januari 2019","Perjanjian Dagang Selama 2018 Bisa Dongkrak Ekspor 1,9 Miliar Dollar AS","19:20 WIB","Positive"
"10 Januari 2019","Buwas: Sampai Juli Tahun Ini Kita Tidak Impor Beras!","18:36 WIB","Positive"
"10 Januari 2019","Kemenhub: Idealnya Tarif Bawah Ojek Online Rp 2.000-Rp 2.500","17:04 WIB","Neutral"
"10 Januari 2019","Mau Investasi SBR005 Mulai Rp 1 Juta? Begini Cara Pesannya","16:00 WIB","Neutral"
"10 Januari 2019","Bukalapak Investasi Rp 1 Triliun untuk Kembangkan Warung Mitra","14:25 WIB","Positive"
"10 Januari 2019","BPJS Ketenagakerjaan Beri Santunan Rp 9,65 Miliar ke Pekerja Korban Tsunami Selat Sunda","14:10 WIB","Negative"
"10 Januari 2019","Minat investasi? SBR005 Bisa Dibeli Mulai Hari Ini","13:34 WIB","Neutral"
"10 Januari 2019","Jokowi: Kalau Stok Sedikit, Banyak Spekulasi dari Pasar Bermain Harga","12:58 WIB","Negative"
"10 Januari 2019","Investasi Reksa Dana di Tahun Politik","09:29 WIB","Neutral"
"10 Januari 2019","Jatuhnya Harga Minyak Pukul Rupee, Rupiah Paling Perkasa di Asia","08:33 WIB","Positive"
"10 Januari 2019","Berita Terpopuler: Citilink Ikuti Lion Air Hapus Bagasi Gratis","07:24 WIB","Negative"
"11 Januari 2019","Pemerintah Tuding Spekulan Sebabkan Harga Karet Anjlok","18:45 WIB","Negative"
"11 Januari 2019","Kemenhub Pastikan Harga Tiket Pesawat Masih Sesuai Peraturan","18:38 WIB","Positive"
"11 Januari 2019","Aliran Dana Asing di Awal Tahun Masuk Rp 6,8 Triliun","16:02 WIB","Positive"
"11 Januari 2019","BI: Bank Sentral AS Tak Lagi Agresif, Kinerja Rupiah Membaik","14:58 WIB","Positive"
"11 Januari 2019","Harga Telur dan Daging Ayam Masih Tinggi karena Kelangkaan Jagung","11:45 WIB","Negative"
"11 Januari 2019","Investor Pertanyakan Dampak Perceraian Jeff Bezos, Saham Amazon Loyo","09:17 WIB","Negative"
"11 Januari 2019","Kualitas di Bawah Standar Produksi Jadi Alasan Indonesia Harus Impor","08:43 WIB","Negative"
"11 Januari 2019","Berita Populer: Selebgram Harus Bayar Pajak dan Rupiah Perkasa","06:00 WIB","Positive"
"11 Januari 2019","Dapat Lampu Hijau dari Kemendag, Bulog Akan Impor 30.000 Ton Jagung","05:00 WIB","Positive"
"13 Januari 2019","Ini Penyebab Harga Tiket Pesawat ke Luar Negeri Lebih Murah","21:22 WIB","Negative"
"13 Januari 2019","Rupiah Pekan Depan: Faktor Brexit Jadi Penentu","20:14 WIB","Neutral"
"13 Januari 2019","Harga Tiket Pesawat Sempat Melonjak, Ini Penyebabnya Menurut INACA","19:09 WIB","Negative"
"13 Januari 2019","Asosiasi: Harga Tiket Pesawat Turun hingga 60 Persen","17:18 WIB","Positive"
"13 Januari 2019","Asosiasi Maskapai Penerbangan Sepakat Turunkan Harga Tiket Pesawat","15:43 WIB","Positive"
"13 Januari 2019","Dorong Investasi Sektor Migas, Pemerintah Incar Mitra dari Timur Tengah","14:00 WIB","Positive"
"13 Januari 2019","4 Kunci Menjadi Pemimpin Bisnis di Era Revolusi Industri 4.0","09:34 WIB","Neutral"
"13 Januari 2019","Garuda Kaji Beri Potongan Harga Bagi Guru dan Penjaga Perbatasan","07:12 WIB","Positive"
"13 Januari 2019","Usai Natal dan Tahun Baru, Garuda Indonesia Klaim telah Turunkan Harga Tiket","05:28 WIB","Positive"
"14 Januari 2019","Mentan: Harga Naik Dihujat, Harga Turun Dihujat","21:34 WIB","Negative"
"14 Januari 2019","Data Perdagangan China Pukul Pasar Saham dan Komoditas Dunia","19:43 WIB","Negative"
"14 Januari 2019","Empat Bulan Diterapkan, Kebijakan B20 Hemat Impor Solar 937,48 Juta Dollar AS","18:19 WIB","Positive"
"14 Januari 2019","HERO Tutup 26 Gerai, Terpukul  E-Commerce?","14:56 WIB","Negative"
"14 Januari 2019","291 Permentan Dicabut, Investasi Pertanian Melonjak 110 Persen","13:36 WIB","Positive"
"14 Januari 2019","Sejak 2016, Ekspor Pertanian Naik 29,7 Persen","12:13 WIB","Positive"
"14 Januari 2019","Mengurai Polemik Harga Tiket Penerbangan Domestik di Indonesia...","11:39 WIB","Negative"
"14 Januari 2019","Genjot Ekspor, Menteri Enggartiasto Pimpin Misi Dagang ke AS","10:11 WIB","Positive"
"14 Januari 2019","Tarif Tiket Pesawat Turun, INACA Minta Pertamina Turunkan Harga Avtur","09:09 WIB","Positive"
"14 Januari 2019","Harga Tiket Pesawat Diturunkan, Ini Kata Menhub","07:39 WIB","Positive"
"14 Januari 2019","Berita populer: Hero PHK 532 Karyawan hingga Maskapai Turunkan Harga Tiket Pesawat","05:47 WIB","Neutral"
"14 Januari 2019","Rupiah Hari Ini Berpeluang Lanjutkan Penguatan","05:09 WIB","Positive"
"15 Januari 2019","YLKI: Masyarakat Syok dengan Kenaikan Harga Tiket Pesawat","22:07 WIB","Negative"
"15 Januari 2019","Himbara: DP 0 Persen Kredit Kendaraan Bisa Dorong Pertumbuhan Ekonomi","19:03 WIB","Positive"
"15 Januari 2019","Tren Positif Rupiah Terganjal Defisit Neraca Perdagangan","18:05 WIB","Negative"
"15 Januari 2019","Tahun 2018, Pertumbuhan Ekonomi Jerman Terburuk dalam 5 Tahun","18:00 WIB","Negative"
"15 Januari 2019","INACA: Harga Avtur Jadi Faktor Utama Kenaikan Harga Tiket Pesawat","16:39 WIB","Negative"
"15 Januari 2019","Defisit Neraca Perdagangan Pecahkan Rekor, Kondisi Ekonomi RI Rentan","16:34 WIB","Negative"
"15 Januari 2019","Gelontorkan Rp 74,89 M, KINO Beli Semua Saham Morinaga di Kino Food Indonesia","12:19 WIB","Positive"
"15 Januari 2019","Bulog Akan Impor Daging Kerbau 100.000 Ton","10:38 WIB","Negative"
"15 Januari 2019","Dollar AS Melemah, Harga Emas Naik","08:39 WIB","Positive"
"15 Januari 2019","Ini Proyeksi Rupiah Hari Ini","05:41 WIB","Neutral"
"16 Januari 2019","2018, Bea Cukai Jawa Barat Catat Realisasi Penerimaan Rp 27,7 Triliun","20:13 WIB","Positive"
"16 Januari 2019","Tim Ekonomi Prabowo: Neraca Dagang Catat Rekor Terburuk, Program Jokowi Tidak Jalan","20:04 WIB","Neutral"
"16 Januari 2019","Lampaui Target, Penerimaan Industri Hulu Migas Capai Rp 215 Triliun","19:53 WIB","Positive"
"16 Januari 2019","Dirut Pertamina: Kami Tidak Bisa Sembarangan Mengubah Harga Avtur","17:51 WIB","Positive"
"16 Januari 2019","Selama 2018, ASDP Dapat Untung Rp 261 Miliar","16:16 WIB","Positive"
"16 Januari 2019","ASDP Siapkan Dana Investasi Rp 2,2 Triliun di 2019","15:34 WIB","Positive"
"16 Januari 2019","November 2019, Kawasan Terpadu Labuan Bajo Ditargetkan Beroperasi","14:46 WIB","Positive"
"16 Januari 2019","Rupiah Melemah Hari Ini, Berikut Penyebabnya","13:53 WIB","Negative"
"16 Januari 2019","Bidik Ekspansi, Pebisnis Indonesia dan Thailand Gelar Business Matching","13:17 WIB","Positive"
"16 Januari 2019","Taspen: Banyak ASN Cemas Menghadapi Masa Pensiun","12:56 WIB","Neutral"
"16 Januari 2019","YLKI Minta Biaya Bagasi Tak Lebih Mahal dari Harga Tiket Pesawat","12:20 WIB","Positive"
"16 Januari 2019","Rekor Terburuk Neraca Dagang, Pemerintah Sebut karena Ekonomi Jalan","12:06 WIB","Negative"
"16 Januari 2019","Garuda Akui Jadi Inisiator Kenaikan Harga Tiket Pesawat","11:06 WIB","Negative"
"16 Januari 2019","Saat Maskapai Curhat soal Kondisi Bisnis Penerbangan di Indonesia","10:45 WIB","Neutral"
"16 Januari 2019","Rem Blong Impor, Rapor Neraca Dagang Merah","08:06 WIB","Negative"
"16 Januari 2019","Garuda Buka Kemungkinan Kembali Naikkan Harga Tiket Pesawat","07:17 WIB","Negative"
"16 Januari 2019","Berita Terpopuler: Lulusan SMK Banyak yang Menganggur","07:03 WIB","Negative"
"16 Januari 2019","Setelah Saham Freeport Diakuisisi, Whats Next?","06:23 WIB","Positive"
"17 Januari 2019","Tahun Politik, Gubernur BI PeDe Investasi Asing Tetap Masuk ke Indonesia","22:11 WIB","Positive"
"17 Januari 2019","Jonan Dorong Penggunaan Minyak Sawit dengan Bio Refinery","20:09 WIB","Positive"
"17 Januari 2019","Ekonomi 2019, Mobil F1 dan Catatan Akhir Seorang Ekonom","16:26 WIB","Neutral"
"17 Januari 2019","Tahun Politik, IHSG Diprediksi Bergerak Positif","15:30 WIB","Positive"
"17 Januari 2019","Ini Jurus Pertamina Tekan Impor Minyak","13:30 WIB","Positive"
"17 Januari 2019","Tahun Ini, Perusahaan Pembiayaan Suzuki Finance Bidik Laba Rp 10 Miliar","12:52 WIB","Positive"
"17 Januari 2019","Pertama dalam Satu Dekade, Google Naikkan Harga untuk Paket G Suite","09:30 WIB","Neutral"
"17 Januari 2019","Sepanjang 2018, Home Credit Salurkan Rp 9,5 Triliun untuk Pembiayaan","09:03 WIB","Positive"
"17 Januari 2019","Ekonom dan Pengajar UGM Tony Prasetiantono Berpulang","05:58 WIB","Neutral"
"18 Januari 2019","Perluas Bisnis AKAP, Blue Bird Siapkan Belanja Modal Rp 1,5 Triliun","18:03 WIB","Positive"
"18 Januari 2019","BI: Aliran Modal Masuk pada Januari Mencapai Rp 14,75 Triliun","15:52 WIB","Positive"
"18 Januari 2019","IMF Peringatkan AS soal Dampak Ekonomi Shutdown Berkepanjangan","15:21 WIB","Negative"
"18 Januari 2019","Kuasai Sumber Ekonomi, Bisakah Tekan Angka Korupsi?","14:30 WIB","Neutral"
"18 Januari 2019","Tahun Politik, Investasi di Reksa Dana Saham Bisa Jadi Pilihan","11:55 WIB","Neutral"
"18 Januari 2019","Bank Commonwealth Luncurkan Aplikasi Investasi SmartWealth","11:15 WIB","Positive"
"18 Januari 2019","Catatkan Laba Tak Sesuai Ekspektasi, Harga Saham Netflix Terkoreksi","08:32 WIB","Negative"
"18 Januari 2019","Berita Populer: Ekonom Tony Prasetiantono Berpulang","07:03 WIB","Neutral"
"18 Januari 2019","Analis: Hasil Debat Capres akan Pengaruhi Gerak IHSG Hari Ini","06:29 WIB","Negative"
"19 Januari 2019","Fintech P2P Lending Tokomodal Targetkan Pembiayaan Rp 1 Triliun","22:31 WIB","Positive"
"19 Januari 2019","Jiwasraya Sebut Tren Perpanjangan Kontrak Saving Plan Meningkat","18:29 WIB","Positive"
"20 Januari 2019","Sandiaga Cerita Soal Berhenti Berbisnis karena Nasihat JK","16:37 WIB","Neutral"
"20 Januari 2019","Tahun Ini Mandiri Capital Akan Investasi di 4 Fintech Baru","15:40 WIB","Positive"
"21 Januari 2019","SMF Berencana Terbitkan Surat Utang Sebesar Rp 9 Triliun","21:34 WIB","Positive"
"21 Januari 2019","SMF Lakukan Sekuritisasi Sebesar Rp 2 Triliun di 2018","20:30 WIB","Positive"
"21 Januari 2019","Bisnis Ritel Kolaps, Konsumen Pilih Home Industry dan Toko Online","20:02 WIB","Negative"
"21 Januari 2019","Garuda Indonesia dan Sriwijaya Air Berpotensi Kena Denda Rp 25 Miliar","19:08 WIB","Negative"
"21 Januari 2019","Garuda Klaim Telah Turunkan Harga Tiket Pesawat Hampir di Seluruh Rute","18:13 WIB","Positive"
"21 Januari 2019","SMF Salurkan Pembiayaan untuk KPR Sebesar Rp 9,8 Triliun di 2018","17:45 WIB","Positive"
"21 Januari 2019","Terlesu dalam 28 Tahun, Pertumbuhan Ekonomi China Melambat Jadi 6,6 Persen di 2018","14:43 WIB","Negative"
"21 Januari 2019","Akhir Tahun Ini, IHSG Diprediksi Bisa Tembus 7.000","14:25 WIB","Positive"
"21 Januari 2019","2018, Pertumbuhan Ekonomi China Sentuh Level Terendah dalam 28 Tahun","14:00 WIB","Negative"
"21 Januari 2019","LPEI Kucurkan Pembiayaan untuk Ekspor Kereta INKA ke Banglades","13:16 WIB","Positive"
"21 Januari 2019","Pemilu Tinggal Hitungan Bulan, Kondisi Ekonomi Positif","13:14 WIB","Positive"
"21 Januari 2019","Harga Komoditas Fluktuatif, RI Harus Fokus Kelola Industri Manufaktur","13:08 WIB","Positive"
"21 Januari 2019","Akan Merger, Perdagangan Saham Danamon dan Bank Nusantara Parahyangan Disuspensi","11:00 WIB","Positive"
"21 Januari 2019","Harga Saham-saham Grup Bakrie Melonjak, Apa Penyebabnya?","08:47 WIB","Positive"
"21 Januari 2019","Rupiah Hari Ini Diperkirakan Masih Menguat","07:08 WIB","Positive"
"21 Januari 2019","Berita Populer: Sandiaga Berhenti Bisnis karena JK hingga Darmin soal Tak Perlu Infrastruktur","05:38 WIB","Neutral"
"21 Januari 2019","IHSG Hari Ini Berpeluang Lanjutkan Kenaikan, Waspada Aksi Ambil Untung","05:06 WIB","Positive"
"22 Januari 2019","Sebanyak 108 Investasi Ilegal Dihentikan Selama 2018","19:37 WIB","Positive"
"22 Januari 2019","Mantan Menkeu: Tekanan Ekonomi 2018 Lebih Berat dari Era Sebelumnya","18:40 WIB","Negative"
"22 Januari 2019","Ada Pemilu, Prospek Bisnis Properti di Tahun Babi Tanah Masih Menarik","17:45 WIB","Positive"
"22 Januari 2019","Menko Darmin: Jika Tak Impor, Harga Jagung Tembus Rp 8.000 Per Kg","17:35 WIB","Negative"
"22 Januari 2019","Ekonomi Indonesia Disebut Setara Haiti, Sri Mulyani Anggap Berbeda Jauh","17:08 WIB","Neutral"
"22 Januari 2019","Pascamerger, 72,78 Persen Saham Bank Danamon Bakal Dikuasai MUFG Bank","16:54 WIB","Positive"
"22 Januari 2019","Buwas: Ekspor Beras untuk Antisipasi Anjloknya Harga Saat Panen Raya","16:28 WIB","Positive"
"22 Januari 2019","Mungkinkah Indonesia Ekspor Beras?","15:15 WIB","Positive"
"22 Januari 2019","Ekspor ke China Turun, Indonesia Harus Cari Pasar Baru","14:23 WIB","Positive"
"22 Januari 2019","Kenaikan Harga Tiket Pesawat Akan Pengaruhi Tingkat Inflasi","12:37 WIB","Negative"
"22 Januari 2019","Ini Faktor IMF Memangkas Pertumbuhan Ekonomi Global 2019","11:37 WIB","Negative"
"22 Januari 2019","IMF Kembali Pangkas Pertumbuhan Ekonomi Global Jadi 3,5 Persen","11:01 WIB","Negative"
"22 Januari 2019","Suspensi Dibuka, Saham Bank Danamon Langsung Melonjak","10:39 WIB","Positive"
"22 Januari 2019","Cerita di Balik Nila Tanpa Tulang Kemasan Premium Toba Tilapia","10:03 WIB","Neutral"
"22 Januari 2019","Ini Investasi yang Makin Diminati Milenial","09:39 WIB","Neutral"
"22 Januari 2019","Luhut soal Harga Tiket Pesawat: Kita Kan Enggak Boleh Intervensi...","09:10 WIB","Positive"
"22 Januari 2019","Pengusaha Banyak Gunakan Gula Impor, Ini Alasannya Menurut Asosiasi","08:10 WIB","Negative"
"22 Januari 2019","Milenial, Mulai Sisihkan 10 Persen Gajimu untuk Investasi!","07:08 WIB","Neutral"
"22 Januari 2019","Ekspor Beras, Buwas Sebut Beberapa Negara Tetangga Siap Membeli","05:09 WIB","Positive"
"23 Januari 2019","Indef: Bagasi Berbayar, Harga Tiket Pesawat Harusnya Turun","21:11 WIB","Negative"
"23 Januari 2019","Naik 10,3 Persen, Laba Bersih BNI Capai Rp 15,02 Triliun di 2018","17:35 WIB","Positive"
"23 Januari 2019","Sepanjang 2018, BNI Salurkan Kredit Rp 512,78 Triliun","17:06 WIB","Positive"
"23 Januari 2019","Sepanjang 2018, Modalku Salurkan Pendanaan Rp 2,2 Triliun untuk UMKM","13:09 WIB","Positive"
"23 Januari 2019","Jiwasraya Targetkan Perpanjangan Kontrak Saving Plan Capai 45 Persen","12:45 WIB","Positive"
"23 Januari 2019","Bos Garuda: Pendapatan Maskapai Bergantung dari Harga Tiket","12:00 WIB","Neutral"
"23 Januari 2019","Rupiah Menguat Lagi ke Bawah Rp 14.200 Per Dollar AS","11:40 WIB","Positive"
"23 Januari 2019","Catat, Garuda Indonesia Akan Beri Diskon Harga Tiket hingga 70 Persen","10:51 WIB","Positive"
"23 Januari 2019","Mengapa Harga Tiket Pesawat Mahal?","08:22 WIB","Negative"
"24 Januari 2019","BPKH Ingin Pertamina Beri Harga Avtur Khusus untuk Penerbangan Haji","15:30 WIB","Positive"
"24 Januari 2019","Runway Diperpanjang, Bandara Kertajati Siap Layani Penerbangan Jarak Jauh","15:19 WIB","Positive"
