"date","title","time","class"
"02 Januari 2019","IHSG Berpotensi Menguat hingga 6.210 pada Pembukaan Perdagangan 2019","07:51 WIB","Positive"
"02 Januari 2019","Pembukaan Perdagangan Saham 2019, IHSG Diprediksi Menguat","07:28 WIB","Positive"
"03 Januari 2019","BRI Bakal Terbitkan Obligasi Rp20 Triliun hingga 2021","21:04 WIB","Positive"
"03 Januari 2019","BRI Siapkan Rp1,5 Triliun Caplok Asuransi Kerugian","20:17 WIB","Positive"
"03 Januari 2019","Merpati Airlines Bakal Operasikan Pesawat Terbang Rusia di Indonesia Timur","18:53 WIB","Positive"
"03 Januari 2019","MNC Life Bayarkan Klaim Kematian Hampir Rp600 Juta ke Nasabah di Medan","17:41 WIB","Positive"
"03 Januari 2019","Kejar Target, Merpati Airlines Siapkan 10 Pesawat","17:41 WIB","Positive"
"03 Januari 2019","Menteri Rini Restui Merpati Jadi Perusahaan Swasta","17:00 WIB","Positive"
"03 Januari 2019","Ini yang Menggerakan Ekonomi RI agar Bisa Tumbuh 5,3%","16:33 WIB","Positive"
"03 Januari 2019","Lanjutkan Penguatan, IHSG Naik 39,83 Poin Ke 6.221","16:19 WIB","Positive"
"03 Januari 2019","Geser Perbankan, Kini Masalah Ekonomi Digital Paling Banyak Diadukan","16:08 WIB","Negative"
"03 Januari 2019","Pertumbuhan Ekonomi Meleset akibat Perlambatan Belanja Konsumen","15:46 WIB","Negative"
"03 Januari 2019","Ekonomi Syariah Indonesia Harus Bertumpu pada Sektor Riil","13:38 WIB","Positive"
"03 Januari 2019","Barata Indonesia Ekspor Komponen Pembangkit Listrik ke Brasil","13:23 WIB","Positive"
"03 Januari 2019","Awali 2019, Mentan Lepas Ekspor Sayuran ke Singapura dan Brunei","13:17 WIB","Positive"
"03 Januari 2019","Balik Arah, IHSG Naik 19,10 Poin Ke 6.200","12:21 WIB","Positive"
"03 Januari 2019","Bappenas: Indonesia Berpeluang Jadi Pasar Produk Halal Terbesar Dunia","12:20 WIB","Positive"
"03 Januari 2019","Habiskan Rp1,99 Triliun, Saratoga Tambah Porsi Saham Merdeka Copper","11:52 WIB","Positive"
"03 Januari 2019","Bolt Ditutup, BEI Pantau Bisnis First Media","11:39 WIB","Positive"
"03 Januari 2019","Holcim Raih Pinjaman Dana Rp664 Miliar","11:32 WIB","Positive"
"03 Januari 2019","Saham Apple Anjlok, Warren Buffet Rugi Rp40,6 Triliun","11:19 WIB","Negative"
"03 Januari 2019","Tarif Bus Trans-Patriot Bekasi Rp4.000 per Penumpang","10:28 WIB","Neutral"
"03 Januari 2019","Pegadaian Incar Laba Rp3,3 Triliun pada 2019","10:06 WIB","Positive"
"03 Januari 2019","Dolar AS Tekan Rupiah ke Rp14.491/USD","09:55 WIB","Negative"
"03 Januari 2019","5 Fakta Diluncurkannya KA Pangandaran dengan Tarif hanya Rp1 per Penumpang","09:35 WIB","Positive"
"03 Januari 2019","Dibuka Lesu, IHSG Turun 5 Poin ke 6.176","09:29 WIB","Negative"
"03 Januari 2019","Naik Rp2.000, Harga Emas Antam Jadi Rp667.000/Gram","08:37 WIB","Negative"
"03 Januari 2019","IHSG Diprediksi Balik Menguat pada Perdagangan Hari Ini","08:10 WIB","Positive"
"03 Januari 2019","Dolar AS Perkasa terhadap Euro dan Sterling, tapi Lesu pada Yen","07:42 WIB","Positive"
"03 Januari 2019","Emas Berjangka Ambil Keuntungan pada Volatilitas Pasar Saham AS","07:38 WIB","Positive"
"03 Januari 2019","Harga Minyak Naik 2%, Brent Dibanderol USD54,91 per Barel","07:22 WIB","Negative"
"03 Januari 2019","Wall Street Menguat Tipis di Tengah Anjloknya Saham Apple","07:15 WIB","Positive"
"03 Januari 2019","Ramalan Feng Shui soal Ekonomi Indonesia 2019, Bagaimana Ya?","06:40 WIB","Neutral"
"03 Januari 2019","Rupiah Lebih Stabil dan Cenderung Menguat di 2019","06:35 WIB","Positive"
"03 Januari 2019","Menko Darmin Bandingkan Investasi di Pasar Modal dengan Tanah","05:32 WIB","Neutral"
"04 Januari 2019","Harga Pertamax Turun Rp200, Pertalite Turun Rp150 Mulai Sabtu 5 Januari","22:10 WIB","Positive"
"04 Januari 2019","Harga Minyak Dunia Sepanjang 2018 Anjlok","21:07 WIB","Positive"
"04 Januari 2019","Pemerintah Akan Perkuat Mitigasi Bencana di Kawasan Ekonomi Khusus","20:54 WIB","Positive"
"04 Januari 2019","Investasi Sektor ESDM Tembus USD32,2 Miliar, Ini Rinciannya","19:36 WIB","Positive"
"04 Januari 2019","KAI Dikasih Duit Rp1,1 Triliun, Menhub: Pelayanan Harus Perfect","19:31 WIB","Positive"
"04 Januari 2019","Subsidi Kereta Api Ekonomi Dicabut, Menhub: Tak Ada Kenaikan Tarif Rp1 Pun","19:18 WIB","Positive"
"04 Januari 2019","Anggaran Subsidi Kereta Perintis Dijatah Rp183 Miliar","18:03 WIB","Positive"
"04 Januari 2019","Menko Darmin Sebut Aturan Penunjang Paket Kebijakan Ekonomi ke-16 Terbit Sebelum Februari","17:51 WIB","Positive"
"04 Januari 2019","Dana Perawatan dan Pengoperasian Kereta Api Dipangkas Jadi Rp1,1 Triliun","17:38 WIB","Positive"
"04 Januari 2019","Utang Waskita Karya Rp64 Triliun, Bagaimana Cara Bayarnya?","17:27 WIB","Negative"
"04 Januari 2019","Kemenperin Incar Rp130 Triliun dari Investasi Industri Kimia, Farmasi dan Tekstil","17:09 WIB","Positive"
"04 Januari 2019","Hore, Rupiah Menguat 1% ke Rp14.270/USD","17:03 WIB","Positive"
"04 Januari 2019","IHSG Naik Nyaris 1% ke 6.274 Jelang Akhir Pekan","16:16 WIB","Positive"
"04 Januari 2019","Waskita Karya Terima Pembayaran Proyek Senilai Rp36,7 Triliun pada 2018","16:14 WIB","Positive"
"04 Januari 2019","PNBP Sektor ESDM Lampaui Target Capai Rp217,5 Triliun","16:09 WIB","Positive"
"04 Januari 2019","Gubernur BI Ungkap Rahasia Rupiah Menguat di Awal 2019","14:55 WIB","Positive"
"04 Januari 2019","Apac Inti Corpora Ngutang USD6,45 Juta","14:32 WIB","Negative"
"04 Januari 2019","Pacu Ekspor RI, Kemendag Terbitkan Aturan Deklarasi Asal Barang","14:26 WIB","Positive"
"04 Januari 2019","Bersyukur Inflasi 2018 3,13%, Jokowi: Artinya Harga Turun","14:22 WIB","Positive"
"04 Januari 2019","Kekayaan Warren Buffet Tergerus USD4,3 Miliar Akibat Anjloknya Saham Apple","14:06 WIB","Negative"
"04 Januari 2019","AirAsia Terbitkan Surat Utang Rp 1,172 Triliun","13:55 WIB","Positive"
"04 Januari 2019","Miliarder Terkaya Vietnam Rambah Bisnis Smartphone, Begini Ceritanya!","13:34 WIB","Neutral"
"04 Januari 2019","Mentan Lepas Ekspor Manggis ke Singapura hingga China","13:07 WIB","Positive"
"04 Januari 2019","IHSG Rebound, Naik 37,25 Poin Ke 6.258 di Sesi I","11:54 WIB","Positive"
"04 Januari 2019","Nusa Konstruksi Enjinering Didenda Rp86 Miliar dan Dilarang Ikut Lelang Proyek Pemerintah","11:53 WIB","Negative"
"04 Januari 2019","Harga Daging Ayam Rp31.000/kg, Presiden Jokowi Blusukan ke Pasar Ngemplak","11:06 WIB","Positive"
"04 Januari 2019","INSA Minta Solusi Bereskan Panjangnya Antrean di Terminal Peti Kemas Makassar","10:52 WIB","Positive"
"04 Januari 2019","Tarif Tetap Meski 5 Kereta Api Ekonomi Tak Lagi Disubsidi","10:06 WIB","Positive"
"04 Januari 2019","Nilai Belanja Industri Game Tembus Rp90 Triliun","10:01 WIB","Positive"
"04 Januari 2019","Investasi Sektor Energi 2018 Capai USD32 Miliar","09:45 WIB","Positive"
"04 Januari 2019","Rupiah Berada di Rp14.345/USD Pagi Ini","09:28 WIB","Neutral"
"04 Januari 2019","Dibuka Merah, IHSG Kembali Turun 9,91 poin ke 6.211","09:19 WIB","Negative"
"04 Januari 2019","Harga Emas Antam Naik Goceng Jadi Rp672.000 per Gram","08:56 WIB","Negative"
"04 Januari 2019","IHSG Diprediksi Berada di Level 6.180 sampai 6.250 Hari Ini","08:42 WIB","Neutral"
"04 Januari 2019","Harga Emas Naik Seiring Jatuhnya Dolar dan Pasar Saham AS","07:29 WIB","Negative"
"04 Januari 2019","Dolar AS Melemah Terindikasi Adanya Perlambatan Ekonomi Amerika Serikat","07:20 WIB","Positive"
"04 Januari 2019","Pemangkasan Pasokan OPEC Dorong Kenaikan Harga Minyak hingga 1%","07:16 WIB","Negative"
"05 Januari 2019","Harga Pertamax Cs Turun, Masyarakat: Kecil Ya","20:15 WIB","Negative"
"05 Januari 2019","Pemerintah Bebaskan Bea Masuk Barang Impor Maksimal USD500/Orang","19:40 WIB","Positive"
"05 Januari 2019","Masyarakat: Akhirnya Harga Pertamax Turun","17:49 WIB","Positive"
"05 Januari 2019","Harga Pertamax Cs Turun, Bagaimana Stoknya di SPBU?","14:22 WIB","Positive"
"05 Januari 2019","Pertamina Turunkan Harga Pertamax Cs, Bagaimana Realita di Lapangan?","13:47 WIB","Positive"
"05 Januari 2019","Jelang Pilpres, Begini Geliat Bisnis Atribut Kampanye","13:15 WIB","Positive"
"05 Januari 2019","Alasan Pertamina Turunkan Harga Pertamax Cs","12:39 WIB","Positive"
"05 Januari 2019","Harga Pertamax Cs Turun, Ini Daftar Lengkapnya","11:58 WIB","Positive"
"05 Januari 2019","Indonesia Ekspor 42 Komoditas ke 12 Negara","10:58 WIB","Positive"
"05 Januari 2019","Harga Minyak Naik 2%, Brent Dibanderol USD57,06 per Barel","10:22 WIB","Negative"
"05 Januari 2019","Perhatikan Hal Ini Sebelum Tentukan Harga Sewa Kos","10:12 WIB","Neutral"
"05 Januari 2019","Tingkatkan Ekspor Komoditas Pertanian, Kementan Terus Kembangkan Instrumen Dagang SPS","10:03 WIB","Positive"
"05 Januari 2019","Pernyataan Gubernur The Fed Buat Dolar Melemah","09:48 WIB","Negative"
"05 Januari 2019","Harga Emas Dunia Turun Seiring Reboundnya Pasar Saham AS","09:46 WIB","Positive"
"06 Januari 2019","Peluang Besar Buka Bisnis Sirup Jahe saat Musim Hujan","19:41 WIB","Neutral"
"06 Januari 2019","Harga Minyak Mentah RI Turun Lagi Jadi USD54,8/Barel","18:04 WIB","Negative"
"06 Januari 2019","BTN Gandeng Korpri Kejar Target Pembiayaan KPR","17:23 WIB","Positive"
"06 Januari 2019","Harga Bahan Bakar Biodiesel Merosot, Apa Penyebabnya?","16:28 WIB","Negative"
"06 Januari 2019","PM Jepang Shinzo Abe Waspadai Risiko Pemulihan Ekonomi Global","14:38 WIB","Negative"
"06 Januari 2019","Produk Pariwisata RI Ikuti Tren Bisnis Digital","12:15 WIB","Positive"
"06 Januari 2019","IHSG Sepekan Naik 1,29%, Kapitalisasi BEI Tembus Rp7.115 Triliun","11:31 WIB","Positive"
"06 Januari 2019","3 Bulan Nilai Apple Hilang Rp6.456 Triliun","11:14 WIB","Negative"
"06 Januari 2019","Persaingan Bisnis Properti 2019 Kian Ketat, Bagaimana Cara Menghadapinya?","10:39 WIB","Negative"
"06 Januari 2019","Gurihnya Industri Kuliner Bikin Ekonomi Nasional Menggeliat","10:30 WIB","Positive"
"06 Januari 2019","Pemilu hingga Teknologi Akan Berpengaruh pada Karier Anda di 2019","09:43 WIB","Positive"
"06 Januari 2019","Restu untuk Merpati Jadi Perusahaan Swasta hingga Fakta Tentang Utang Pembangunan Tol Cipali","09:09 WIB","Neutral"
"06 Januari 2019","Turun! Ini Daftar Harga BBM Non Subsidi Terbaru","07:15 WIB","Positive"
"06 Januari 2019","Turunkan Harga Pertamax Cs, Pertamina Ingin Masyarakat Puas dengan Layanannya","05:18 WIB","Positive"
"07 Januari 2019","Rupiah Menguat, Sri Mulyani: Kita Akan Jaga Bersama","21:00 WIB","Positive"
"07 Januari 2019","RI Impor Lagi Jagung 30.000 Ton, Mendag: Bukan Kemauan Saya","20:32 WIB","Negative"
"07 Januari 2019","BI Pantau Nilai Ekspor-Impor Belanja Online di 2020","20:02 WIB","Positive"
"07 Januari 2019","Pakai Sistem Ini,  Dana Hasil Ekspor Lebih Transparan","19:42 WIB","Positive"
"07 Januari 2019","Menko Darmin Lantik Kepala BP Batam Baru untuk Menjaga Momentum Investasi","19:37 WIB","Positive"
"07 Januari 2019","Ekonomi RI di Bawah Bayang-Bayang China dan Harga Komoditas","18:30 WIB","Negative"
"07 Januari 2019","Divonis Denda Rp700 Juta karena Korupsi, Ini Reaksi Nusa Konstruksi","17:45 WIB","Negative"
"07 Januari 2019","Dolar AS Terpuruk, BI: Pasar Percaya pada Rupiah","17:41 WIB","Positive"
"07 Januari 2019","Libas Dolar AS, Rupiah Sore Ini Menguat 1,3% ke Rp14.082/USD","17:14 WIB","Positive"
"07 Januari 2019","Menko Darmin Sebut Rupiah Masih Bisa Terus Menguat","17:07 WIB","Positive"
"07 Januari 2019","The Fed Melunak hingga Perang Dagang Bikin Rupiah Menguat","16:41 WIB","Positive"
"07 Januari 2019","Ini 'Obat Kuat' Rupiah Bisa ke Rp13.990 per USD","16:33 WIB","Positive"
"07 Januari 2019","Seharian Menguat, IHSG Ditutup Naik Tipis 12 Poin ke 6.287","16:29 WIB","Positive"
"07 Januari 2019","Reklamasi Laut, AP I Perpanjang Runway Bandara Ngurah Rai Jadi 3.400 Meter","16:25 WIB","Positive"
"07 Januari 2019","Jauh dari Target, Pertumbuhan Ekspor Nonmigas Diprediksi Hanya 7,5%","16:24 WIB","Negative"
"07 Januari 2019","Presiden Jokowi: Alhamdulillah Perekonomian Kita Tumbuh Positif pada 2018","16:11 WIB","Positive"
"07 Januari 2019","Mendag Siapkan Strategi Khusus Dongkrak Ekspor di 2019","15:32 WIB","Positive"
"07 Januari 2019","Jalan Tol Tersambung, Lancarnya Distribusi Bakal Bikin Harga Beras Stabil di 2019","15:31 WIB","Positive"
"07 Januari 2019","Pemerintah Batasi Penggunaan Baja Impor Mulai 20 Januari","14:46 WIB","Positive"
"07 Januari 2019","Bulog Tunggu Restu Menteri Rini untuk Impor Jagung 30.000 Ton","14:17 WIB","Positive"
"07 Januari 2019","Rupiah Menguat ke Rp13.990/USD Siang Ini","14:07 WIB","Positive"
"07 Januari 2019","Tahun Ini Indonesia Impor Jagung 30.000 Ton","13:55 WIB","Negative"
"07 Januari 2019","SpaceX Bakal Jadi Perusahaan Swasta Paling Bernilai di Dunia, Bisa Tembus Rp423 Triliun","13:34 WIB","Positive"
"07 Januari 2019","Kekayaan Miliarder Patrick Soon-Shiong Melesat, Tembus Rp98 Triliun","13:20 WIB","Neutral"
"07 Januari 2019","Sri Mulyani dan BI Kompak Pelototi Seluruh Devisa Hasil Ekspor","12:54 WIB","Positive"
"07 Januari 2019","IHSG Betah di Zona Hijau, Naik ke 6.323 Siang Ini","12:23 WIB","Positive"
"07 Januari 2019","Nilai Investasi 3 Sektor Industri Ini Diproyeksi Rp130 Triliun","11:49 WIB","Positive"
"07 Januari 2019","Waskita Karya Targetkan Laba Bersih Rp4 Triliun pada 2019","11:44 WIB","Positive"
"07 Januari 2019","Ace Hardware Raup Rp735,84 Miliar Hasil Buyback","11:35 WIB","Positive"
"07 Januari 2019","Setelah Freeport, Vale Indonesia Bersedia Divestasi Saham ke Pemerintah","11:29 WIB","Positive"
"07 Januari 2019","Sritex Bakal Buyback Obligasi Rp4,99 Triliun","11:24 WIB","Positive"
"07 Januari 2019","Investasi Migas Diprediksi Tembus USD33,4 Miliar Tahun Ini","11:01 WIB","Positive"
"07 Januari 2019","Rekor, Tuna Sirip Biru Laku Rp44 Miliar","10:52 WIB","Positive"
"07 Januari 2019","Makin Perkasa, Rupiah Menguat 1% ke Rp14.105/USD","09:39 WIB","Positive"
"07 Januari 2019","Lagi Murah, Harga Emas Antam Turun Rp8.000/Gram","09:19 WIB","Positive"
"07 Januari 2019","IHSG Menguat Lagi 43 Poin ke 6.317","09:07 WIB","Positive"
"07 Januari 2019","Harga Minyak Naik di Pekan Pertama 2019","08:25 WIB","Negative"
"07 Januari 2019","IHSG Diproyeksi Menguat ke Level 6.200-6.300","07:39 WIB","Positive"
"07 Januari 2019","Shinzo Abe Bicara soal Risiko Pemulihan Ekonomi Global","07:36 WIB","Negative"
"08 Januari 2019","Digitalisasi Pertanian Mampu Tingkatkan Produksi hingga Tekan Biaya Pemasaran","21:22 WIB","Positive"
"08 Januari 2019","Persetujuan Tambahan Impor 30.000 Ton Jagung Masih Diproses","21:08 WIB","Negative"
"08 Januari 2019","Investor Masih Mampu Beli Saham, Pengurangan Jumlah Lot Saham Belum Diterapkan","20:18 WIB","Positive"
"08 Januari 2019","Pengusaha Muslim Indonesia Ingin Ekonomi Daerah Terdampak Tsunami Bisa Tumbuh Kembali","19:39 WIB","Negative"
"08 Januari 2019","Inka Incar Kontrak Rp7,2 Triliun pada 2019","19:01 WIB","Positive"
"08 Januari 2019","Fakta Kemacetan Bikin Rugi Rp65 Triliun: MRT hingga TOD Jadi Solusi","18:41 WIB","Negative"
"08 Januari 2019","Cerita Bos Inka yang Taklukan Produk China untuk Tembus Pasar Ekspor","18:26 WIB","Positive"
"08 Januari 2019","Rupiah Melemah ke Level Rp14.147/USD","17:16 WIB","Negative"
"08 Januari 2019","Incar Pertumbuhan Ekonomi 5,3% pada 2019, Ini Langkah Pemerintah","17:04 WIB","Positive"
"08 Januari 2019","IHSG Ditutup Melorot 0,38% ke 6.262","16:26 WIB","Negative"
"08 Januari 2019","Mendag Lepas Ekspor Rotan Asal Sukoharjo ke Eropa","15:26 WIB","Positive"
"08 Januari 2019","Terobosan di Industri Game yang Tembus Miliaran Dolar AS","15:06 WIB","Positive"
"08 Januari 2019","Miliarder Jepang Bagi-Bagi Uang Rp13 Miliar Via Twitter","14:52 WIB","Neutral"
"08 Januari 2019","Sri Mulyani Kucurkan Uang Rp500 Triliun untuk Pendidikan Vokasi","14:19 WIB","Positive"
"08 Januari 2019","Tingkatkan Pendidikan Vokasi, Kemenperin Siapkan Dana Rp1,78 Triliun","14:08 WIB","Positive"
"08 Januari 2019","Rupiah Menguat, Pengusaha: Kita Butuhnya Stabil","13:41 WIB","Positive"
"08 Januari 2019","Sri Mulyani Kaji Dampak Penguatan Rupiah ke APBN","13:36 WIB","Positive"
"08 Januari 2019","Stok Melimpah, Harga CPO Jeblok Terendah Sejak 2016","13:21 WIB","Positive"
"08 Januari 2019","KCI Perpanjang Rangkaian KRL Commuter untuk Semua Rute","12:58 WIB","Positive"
"08 Januari 2019","Bank Mandiri Siap Terbitkan Obligasi Rp40 Triliun","12:46 WIB","Positive"
"08 Januari 2019","IHSG Sesi I Merosot ke 6.272","12:19 WIB","Negative"
"08 Januari 2019","Investasi RI Kalah dari Vietnam, Wapres JK: Kepastian Hukum Jangan Berubah-ubah!","12:09 WIB","Negative"
"08 Januari 2019","Pengusaha Berharap Volatilitas Rupiah Terjaga","12:07 WIB","Positive"
"08 Januari 2019","Soal Perang Dagang, Wapres JK Bicara Potensi Ekspor Indonesia ke China","11:55 WIB","Positive"
"08 Januari 2019","Albizia Tambah Porsi Saham di PZZA, Kuras Dana Rp5,28 Miliar","11:52 WIB","Positive"
"08 Januari 2019","RI Bisa Manfaatkan Ketidakpastian Ekonomi Global","11:47 WIB","Positive"
"08 Januari 2019","IPO, Permintaan Saham Estetika Tata Tiara Oversubscribed 86,11 Kali","11:32 WIB","Positive"
"08 Januari 2019","Impor Indonesia Tumbuh Lebih Cepat dari Ekspor","11:22 WIB","Negative"
"08 Januari 2019","3 Tips Wapres JK Tingkatkan Ekspor: Lebik Baik, Cepat dan Murah","11:17 WIB","Positive"
"08 Januari 2019","Menko Darmin Sebut Masalah Ekonomi RI Warisan Sejak Lama","11:10 WIB","Negative"
"08 Januari 2019","Bahas Ekonomi 2019, Wapres JK: Kita Perlu Ide dan Kritikan","10:53 WIB","Positive"
"08 Januari 2019","Tesla Bangun Pabrik Mobil Listrik Terbesar Senilai Rp28 Triliun di China","10:46 WIB","Positive"
"08 Januari 2019","Anggaran Bencana 2019 Naik Jadi Rp15 Triliun","10:14 WIB","Neutral"
"08 Januari 2019","Brexit, Aset Rp14.087 Triliun Akan Pindah dari Inggris ke Uni Eropa","10:07 WIB","Neutral"
"08 Januari 2019","Emiten Pertama di 2019, Saham Sentra Food Melonjak 68,8%","10:02 WIB","Positive"
"08 Januari 2019","Wapres JK Akan Bahas Ekonomi 2019 Bareng Menteri hingga Pengusaha","09:22 WIB","Positive"
"08 Januari 2019","IHSG Dibuka Naik Tipis 0,13% ke 6.295","09:14 WIB","Positive"
"08 Januari 2019","Rupiah Masih Menguat ke Level Rp14.027/USD Pagi Ini","09:03 WIB","Positive"
"08 Januari 2019","Dolar AS Jatuh, Investor Spekulasi Perlambatan Bunga The Fed","08:53 WIB","Positive"
"08 Januari 2019","Harga Minyak Dunia Mulai Bangkit Lagi","08:46 WIB","Negative"
"08 Januari 2019","Bulog Siap Impor Jagung 30.000 Ton","07:11 WIB","Negative"
"08 Januari 2019","Baja Impor di RI Bakal Menghilang","06:08 WIB","Positive"
"08 Januari 2019","The Fed Melunak, Rupiah Perkasa","04:06 WIB","Positive"
"09 Januari 2019","Update Perkembangan Diplomasi Ekonomi Indonesia","20:05 WIB","Positive"
"09 Januari 2019","Kementerian ESDM Evaluasi Tawaran Vale soal Pengambilalihan Saham","18:04 WIB","Positive"
"09 Januari 2019","Bank Dunia Prediksi Pertumbuhan Ekonomi Global Melambat di 2019","17:44 WIB","Negative"
"09 Januari 2019","Rupiah Menguat Tipis ke Rp14.125 per USD","17:38 WIB","Positive"
"09 Januari 2019","10 Negara Ekonomi Top Dunia di 2030, Indonesia Peringkat Berapa?","17:15 WIB","Neutral"
"09 Januari 2019","Bertahan di Zona Hijau, IHSG Ditutup di Level 6.272","16:28 WIB","Positive"
"09 Januari 2019","Berakhir Bulan Depan, Izin Ekspor Freeport Belum Dikeluarkan","15:45 WIB","Negative"
"09 Januari 2019","Pramono Anung: Alhamdulillah, Anggaran Seskab Sudah Rp350 Miliar","15:19 WIB","Positive"
"09 Januari 2019","Pasar Saham Brasil Catat Kinerja Terbaik di Dunia","14:54 WIB","Positive"
"09 Januari 2019","Lampaui Target, PNBP Sektor Pertambangan 2018 Capai Rp50 Triliun","14:48 WIB","Positive"
"09 Januari 2019","Harga Batu Bara Dipatok Sebesar USD92,41/Ton","13:48 WIB","Positive"
"09 Januari 2019","Mendag Optimistis Harga Beras Tahun Ini Terkendali","13:35 WIB","Positive"
"09 Januari 2019","Harga Daging Ayam dan Telur Melonjak Hari Ini","13:29 WIB","Negative"
"09 Januari 2019","BEI Beri Sanksi Denda Rp150 Juta ke 6 Emiten","12:58 WIB","Negative"
